id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
699,Klasemen MotoGP 2025 usai Balapan Seru di Misano!,,Olahraga,klasemen motogp balapan seru misano,klasemen motogp balapan seru misano,klasemen motogp balapan seru misano,klasemen motogp balap seru misano,"['klasemen', 'motogp', 'balap', 'seru', 'misano']"
700,MotoGP San Marino 2025: Marc Marquez Asapi Bezzecchi,,Olahraga,motogp san marino marc marquez asapi bezzecchi,motogp san marino marc marquez asapi bezzecchi,motogp san marino marc marquez asapi bezzecchi,motogp san marino marc marquez asap bezzecchi,"['motogp', 'san', 'marino', 'marc', 'marquez', 'asap', 'bezzecchi']"
701,Hasil MotoGP San Marino 2025: Marc Marquez Pemenangnya,,Olahraga,hasil motogp san marino marc marquez pemenangnya,hasil motogp san marino marc marquez pemenangnya,hasil motogp san marino marc marquez pemenangnya,hasil motogp san marino marc marquez menang,"['hasil', 'motogp', 'san', 'marino', 'marc', 'marquez', 'menang']"
702,"MotoGP San Marino 2025 Sudah Setengah Jalan, Marc Marquez Terdepan!",,Olahraga,motogp san marino jalan marc marquez terdepan,motogp san marino jalan marc marquez terdepan,motogp san marino jalan marc marquez terdepan,motogp san marino jalan marc marquez depan,"['motogp', 'san', 'marino', 'jalan', 'marc', 'marquez', 'depan']"
703,Jadwal China Masters 2025: Momen Debut Pasangan Anyar Rian/Yeremia,,Olahraga,jadwal china masters momen debut pasangan anyar,jadwal china masters momen debut pasangan anyar,jadwal china masters momen debut pasangan anyar,jadwal china masters momen debut pasang anyar,"['jadwal', 'china', 'masters', 'momen', 'debut', 'pasang', 'anyar']"
704,"Link Live Streaming MotoGP San Marino 2025, Start Pukul 19.00 WIB",,Olahraga,link live streaming motogp san marino start wib,link live streaming motogp san marino start wib,link live streaming motogp san marino start wib,link live streaming motogp san marino start wib,"['link', 'live', 'streaming', 'motogp', 'san', 'marino', 'start', 'wib']"
705,Respons Dingin Marc Marquez Usai Penonton Rayakan Crash-nya,,Olahraga,respons dingin marc marquez penonton rayakan,respons dingin marc marquez penonton rayakan,respons dingin marc marquez penonton rayakan,respons dingin marc marquez tonton raya,"['respons', 'dingin', 'marc', 'marquez', 'tonton', 'raya']"
706,Kiromal Katibin Rajai Seri Piala Dunia Panjat Tebing Tahun 2025,,Olahraga,kiromal katibin rajai seri piala dunia panjat tebing,kiromal katibin rajai seri piala dunia panjat tebing,kiromal katibin rajai seri piala dunia panjat tebing,kiromal katibin raja seri piala dunia panjat tebing,"['kiromal', 'katibin', 'raja', 'seri', 'piala', 'dunia', 'panjat', 'tebing']"
707,"Marc Marquez Crash, Alex Raih Poin Penting di Sprint Race Misano",,Olahraga,marc marquez crash alex raih poin sprint race misano,marc marquez crash alex raih poin sprint race misano,marc marquez crash alex raih poin sprint race misano,marc marquez crash alex raih poin sprint race misano,"['marc', 'marquez', 'crash', 'alex', 'raih', 'poin', 'sprint', 'race', 'misano']"
708,"Video: Detik-detik Marquez Jatuh di Misano, Penonton Sorak Sorai",,Olahraga,video marquez jatuh misano penonton sorak sorai,video marquez jatuh misano penonton sorak sorai,video marquez jatuh misano penonton sorak sorai,video marquez jatuh misano tonton sorak sorai,"['video', 'marquez', 'jatuh', 'misano', 'tonton', 'sorak', 'sorai']"
709,Hasil MotoGP 2025 usai Marc Marquez DNF di Sprint Race Misano,,Olahraga,hasil motogp marc marquez dnf sprint race misano,hasil motogp marc marquez dnf sprint race misano,hasil motogp marc marquez dnf sprint race misano,hasil motogp marc marquez dnf sprint race misano,"['hasil', 'motogp', 'marc', 'marquez', 'dnf', 'sprint', 'race', 'misano']"
710,"PBSI Rilis Daftar Pemain Kejuaraan Dunia Junior 2025, Ada Ubed",,Olahraga,pbsi rilis daftar pemain kejuaraan dunia junior ubed,pbsi rilis daftar pemain kejuaraan dunia junior ubed,pbsi rilis daftar pemain kejuaraan dunia junior ubed,pbsi rilis daftar main juara dunia junior ubed,"['pbsi', 'rilis', 'daftar', 'main', 'juara', 'dunia', 'junior', 'ubed']"
711,Adu Smash di Arena Tenis Meja Pasar Grogol,,Olahraga,adu smash arena tenis meja pasar grogol,adu smash arena tenis meja pasar grogol,adu smash arena tenis meja pasar grogol,adu smash arena tenis meja pasar grogol,"['adu', 'smash', 'arena', 'tenis', 'meja', 'pasar', 'grogol']"
712,Jadwal MotoGP San Marino 2025 Malam Ini,,Olahraga,jadwal motogp san marino malam,jadwal motogp san marino malam,jadwal motogp san marino malam,jadwal motogp san marino malam,"['jadwal', 'motogp', 'san', 'marino', 'malam']"
713,Jejak Emas dari Atas: Tentang Perjalanan Candra Wijaya,,Olahraga,jejak emas perjalanan candra wijaya,jejak emas perjalanan candra wijaya,jejak emas perjalanan candra wijaya,jejak emas jalan candra wijaya,"['jejak', 'emas', 'jalan', 'candra', 'wijaya']"
714,Men's World Tennis Championship: Christho/Rifqi Juara M-25 Seri VII,,Olahraga,men world tennis championship juara seri vii,men world tennis championship juara seri vii,men world tennis championship juara seri vii,men world tennis championship juara seri vii,"['men', 'world', 'tennis', 'championship', 'juara', 'seri', 'vii']"
715,"Doubles Special Championships 2025 Selesai, Ini Para Juaranya",,Olahraga,doubles special championships selesai juaranya,doubles special championships selesai juaranya,doubles special championships selesai juaranya,doubles special championships selesai juara,"['doubles', 'special', 'championships', 'selesai', 'juara']"
716,Wakil Thailand Juara di Golf The Indonesia Pro-Am,,Olahraga,wakil thailand juara golf the indonesia,wakil thailand juara golf the indonesia,wakil thailand juara golf the indonesia,wakil thailand juara golf the indonesia,"['wakil', 'thailand', 'juara', 'golf', 'the', 'indonesia']"
717,Tim Horseback Archery Indonesia Ikuti Kejuaraan Dunia di AS,,Olahraga,tim horseback archery indonesia ikuti kejuaraan dunia as,tim horseback archery indonesia ikuti kejuaraan dunia as,tim horseback archery indonesia ikuti kejuaraan dunia as,tim horseback archery indonesia ikut juara dunia as,"['tim', 'horseback', 'archery', 'indonesia', 'ikut', 'juara', 'dunia', 'as']"
718,Klasemen MotoGP 2025 Usai Bezzecchi Menang Sprint Race San Marino,,Olahraga,klasemen motogp bezzecchi menang sprint race san marino,klasemen motogp bezzecchi menang sprint race san marino,klasemen motogp bezzecchi menang sprint race san marino,klasemen motogp bezzecchi menang sprint race san marino,"['klasemen', 'motogp', 'bezzecchi', 'menang', 'sprint', 'race', 'san', 'marino']"
719,Hong Kong Open 2025: Adnan/Indah Gagal ke Final,,Olahraga,hong kong open gagal final,hong kong open gagal final,hong kong open gagal final,hong kong open gagal final,"['hong', 'kong', 'open', 'gagal', 'final']"
720,Komentar Bezzecchi Lihat Marc Marquez Crash,,Olahraga,komentar bezzecchi lihat marc marquez crash,komentar bezzecchi lihat marc marquez crash,komentar bezzecchi lihat marc marquez crash,komentar bezzecchi lihat marc marquez crash,"['komentar', 'bezzecchi', 'lihat', 'marc', 'marquez', 'crash']"
721,Hasil Sprint Race MotoGP San Marino 2025: Marco Bezzecchi Pemenangnya!,,Olahraga,hasil sprint race motogp san marino marco bezzecchi pemenangnya,hasil sprint race motogp san marino marco bezzecchi pemenangnya,hasil sprint race motogp san marino marco bezzecchi pemenangnya,hasil sprint race motogp san marino marco bezzecchi menang,"['hasil', 'sprint', 'race', 'motogp', 'san', 'marino', 'marco', 'bezzecchi', 'menang']"
722,Sprint Race MotoGP San Marino 2025: Marc Marquez Crash!,,Olahraga,sprint race motogp san marino marc marquez crash,sprint race motogp san marino marc marquez crash,sprint race motogp san marino marc marquez crash,sprint race motogp san marino marc marquez crash,"['sprint', 'race', 'motogp', 'san', 'marino', 'marc', 'marquez', 'crash']"
723,Kualifikasi MotoGP San Marino 2025: Bezzecchi Pole! Marquez Keempat,,Olahraga,kualifikasi motogp san marino bezzecchi pole marquez keempat,kualifikasi motogp san marino bezzecchi pole marquez keempat,kualifikasi motogp san marino bezzecchi pole marquez keempat,kualifikasi motogp san marino bezzecchi pole marquez empat,"['kualifikasi', 'motogp', 'san', 'marino', 'bezzecchi', 'pole', 'marquez', 'empat']"
724,Butuh Menang Berapa Balapan Lagi Agar Marc Marquez Bisa Juara MotoGP?,,Olahraga,butuh menang balapan marc marquez juara motogp,butuh menang balapan marc marquez juara motogp,butuh menang balapan marc marquez juara motogp,butuh menang balap marc marquez juara motogp,"['butuh', 'menang', 'balap', 'marc', 'marquez', 'juara', 'motogp']"
725,Jadwal MotoGP San Marino 2025: Malam Ini Sprint Race,,Olahraga,jadwal motogp san marino malam sprint race,jadwal motogp san marino malam sprint race,jadwal motogp san marino malam sprint race,jadwal motogp san marino malam sprint race,"['jadwal', 'motogp', 'san', 'marino', 'malam', 'sprint', 'race']"
726,Jadwal Hong Kong Open 2025 Hari Ini: Adnan/Indah Berburu Tiket Final,,Olahraga,jadwal hong kong open berburu tiket final,jadwal hong kong open berburu tiket final,jadwal hong kong open berburu tiket final,jadwal hong kong open buru tiket final,"['jadwal', 'hong', 'kong', 'open', 'buru', 'tiket', 'final']"
727,Liga Padel: Jalan Para Pemain Amatir Menuju Kancah Profesional,,Olahraga,liga padel jalan pemain amatir kancah profesional,liga padel jalan pemain amatir kancah profesional,liga padel jalan pemain amatir kancah profesional,liga padel jalan main amatir kancah profesional,"['liga', 'padel', 'jalan', 'main', 'amatir', 'kancah', 'profesional']"
728,Men's World Tennis Championship: Christho/Rifqi ke Final M-25 Seri VII,,Olahraga,men world tennis championship final seri vii,men world tennis championship final seri vii,men world tennis championship final seri vii,men world tennis championship final seri vii,"['men', 'world', 'tennis', 'championship', 'final', 'seri', 'vii']"
729,Pentingnya Turnamen Berkualitas untuk Regenerasi Nomor Ganda,,Olahraga,turnamen berkualitas regenerasi nomor ganda,turnamen berkualitas regenerasi nomor ganda,turnamen berkualitas regenerasi nomor ganda,turnamen kualitas regenerasi nomor ganda,"['turnamen', 'kualitas', 'regenerasi', 'nomor', 'ganda']"
730,Hasil Hong Kong Open 2025: Alwi Farhan Terhenti di Perempatfinal,,Olahraga,hasil hong kong open alwi farhan terhenti perempatfinal,hasil hong kong open alwi farhan terhenti perempatfinal,hasil hong kong open alwi farhan terhenti perempatfinal,hasil hong kong open alwi farhan henti perempatfinal,"['hasil', 'hong', 'kong', 'open', 'alwi', 'farhan', 'henti', 'perempatfinal']"
731,Hasil Practice MotoGP San Marino 2025: Marc Marquez Tercepat,,Olahraga,hasil practice motogp san marino marc marquez tercepat,hasil practice motogp san marino marc marquez tercepat,hasil practice motogp san marino marc marquez tercepat,hasil practice motogp san marino marc marquez cepat,"['hasil', 'practice', 'motogp', 'san', 'marino', 'marc', 'marquez', 'cepat']"
732,"Hasil Hong Kong Open 2025: Comeback, Adnan/Indah ke Semifinal",,Olahraga,hasil hong kong open comeback semifinal,hasil hong kong open comeback semifinal,hasil hong kong open comeback semifinal,hasil hong kong open comeback semifinal,"['hasil', 'hong', 'kong', 'open', 'comeback', 'semifinal']"
733,Standar yang Harus Dipenuhi oleh Atlet Muda Bulutangkis,,Olahraga,standar dipenuhi atlet muda bulutangkis,standar dipenuhi atlet muda bulutangkis,standar dipenuhi atlet muda bulutangkis,standar penuh atlet muda bulutangkis,"['standar', 'penuh', 'atlet', 'muda', 'bulutangkis']"
734,Ester Nurumi Diperkirakan Baru Kembali Tampil Tahun Depan,,Olahraga,ester nurumi tampil,ester nurumi tampil,ester nurumi tampil,ester nurumi tampil,"['ester', 'nurumi', 'tampil']"
735,Hasil FP1 MotoGP San Marino 2025: Morbidelli Tercepat,,Olahraga,hasil motogp san marino morbidelli tercepat,hasil motogp san marino morbidelli tercepat,hasil motogp san marino morbidelli tercepat,hasil motogp san marino morbidelli cepat,"['hasil', 'motogp', 'san', 'marino', 'morbidelli', 'cepat']"
736,Teka-teki Pengisi Jabatan Menpora,,Olahraga,pengisi jabatan menpora,pengisi jabatan menpora,pengisi jabatan menpora,isi jabat menpora,"['isi', 'jabat', 'menpora']"
737,Hasil Hong Kong Open 2025: Sabar/Reza Gagal ke Semifinal,,Olahraga,hasil hong kong open gagal semifinal,hasil hong kong open gagal semifinal,hasil hong kong open gagal semifinal,hasil hong kong open gagal semifinal,"['hasil', 'hong', 'kong', 'open', 'gagal', 'semifinal']"
738,Cara Zarco agar Tak Awet Jadi 'Rider Paling Sering Jatuh' Musim Ini,,Olahraga,zarco awet jatuh musim,zarco awet jatuh musim,zarco awet jatuh musim,zarco awet jatuh musim,"['zarco', 'awet', 'jatuh', 'musim']"
739,Haornas Ke-42 Jadi Momentum Esport Indonesia yang Kian Mendunia,,Olahraga,haornas momentum esport indonesia kian mendunia,haornas momentum esport indonesia kian mendunia,haornas momentum esport indonesia kian mendunia,haornas momentum esport indonesia kian dunia,"['haornas', 'momentum', 'esport', 'indonesia', 'kian', 'dunia']"
740,Jadwal Hong Kong Open 2025 Hari Ini: RI Sisakan 3 Wakil di Perempatfinal,,Olahraga,jadwal hong kong open ri sisakan wakil perempatfinal,jadwal hong kong open ri sisakan wakil perempatfinal,jadwal hong kong open ri sisakan wakil perempatfinal,jadwal hong kong open ri sisa wakil perempatfinal,"['jadwal', 'hong', 'kong', 'open', 'ri', 'sisa', 'wakil', 'perempatfinal']"
741,"Video D'HATTRICK: Level Fans Sejati, Tebak Pemain dari Kariernya!",,Olahraga,video level fans sejati tebak pemain kariernya,video level fans sejati tebak pemain kariernya,video level fans sejati tebak pemain kariernya,video level fans sejati tebak main karier,"['video', 'level', 'fans', 'sejati', 'tebak', 'main', 'karier']"
742,Hasil Hong Kong Open 2025: Alwi Farhan ke Perempatfinal,,Olahraga,hasil hong kong open alwi farhan perempatfinal,hasil hong kong open alwi farhan perempatfinal,hasil hong kong open alwi farhan perempatfinal,hasil hong kong open alwi farhan perempatfinal,"['hasil', 'hong', 'kong', 'open', 'alwi', 'farhan', 'perempatfinal']"
743,Liliyana dan Tontowi Anggap Talenta Bulutangkis Indonesia Meningkat,,Olahraga,liliyana tontowi anggap talenta bulutangkis indonesia meningkat,liliyana tontowi anggap talenta bulutangkis indonesia meningkat,liliyana tontowi anggap talenta bulutangkis indonesia meningkat,liliyana tontowi anggap talenta bulutangkis indonesia tingkat,"['liliyana', 'tontowi', 'anggap', 'talenta', 'bulutangkis', 'indonesia', 'tingkat']"
744,"Hasil Hong Kong Open 2025: Leo/Bagas Tumbang, Adnan/Indah Lolos",,Olahraga,hasil hong kong open tumbang lolos,hasil hong kong open tumbang lolos,hasil hong kong open tumbang lolos,hasil hong kong open tumbang lolos,"['hasil', 'hong', 'kong', 'open', 'tumbang', 'lolos']"
745,David Singleton Senang Rencana TC Timnas Basket Sesuai Harapan,,Olahraga,david singleton senang rencana tc timnas basket sesuai harapan,david singleton senang rencana tc timnas basket sesuai harapan,david singleton senang rencana tc timnas basket sesuai harapan,david singleton senang rencana tc timnas basket sesuai harap,"['david', 'singleton', 'senang', 'rencana', 'tc', 'timnas', 'basket', 'sesuai', 'harap']"
746,"Hasil Hong Kong Open 2025: Sabar/Reza Lolos, Jafar/Felisha Terhenti",,Olahraga,hasil hong kong open lolos terhenti,hasil hong kong open lolos terhenti,hasil hong kong open lolos terhenti,hasil hong kong open lolos henti,"['hasil', 'hong', 'kong', 'open', 'lolos', 'henti']"
747,"Pos Menpora RI Masih Kosong, Bagaimana Ultimatum Badan Doping Dunia?",,Olahraga,pos menpora ri kosong ultimatum badan doping dunia,pos menpora ri kosong ultimatum badan doping dunia,pos menpora ri kosong ultimatum badan doping dunia,pos menpora ri kosong ultimatum badan doping dunia,"['pos', 'menpora', 'ri', 'kosong', 'ultimatum', 'badan', 'doping', 'dunia']"
748,"Indonesia Ikuti Kejuaraan Dunia Anggar Kursi Roda, Targetkan Medali",,Olahraga,indonesia ikuti kejuaraan dunia anggar kursi roda targetkan medali,indonesia ikuti kejuaraan dunia anggar kursi roda targetkan medali,indonesia ikuti kejuaraan dunia anggar kursi roda targetkan medali,indonesia ikut juara dunia anggar kursi roda target medali,"['indonesia', 'ikut', 'juara', 'dunia', 'anggar', 'kursi', 'roda', 'target', 'medali']"
749,Penyebab 2 Pasangan Racikan Baru Karel Mainaky Kandas di 16 Besar,,Olahraga,penyebab pasangan racikan karel mainaky kandas,penyebab pasangan racikan karel mainaky kandas,penyebab pasangan racikan karel mainaky kandas,sebab pasang racik karel mainaky kandas,"['sebab', 'pasang', 'racik', 'karel', 'mainaky', 'kandas']"
750,"Tersingkir di Babak Kedua Hong Kong Open, Ini Kata Lanny/Tiwi",,Olahraga,tersingkir babak hong kong open,tersingkir babak hong kong open,tersingkir babak hong kong open,singkir babak hong kong open,"['singkir', 'babak', 'hong', 'kong', 'open']"
751,"Peraih 2 Emas Olimpiade Jadi Menteri Olahraga Taiwan, Indonesia Bagaimana?",,Olahraga,peraih emas olimpiade menteri olahraga taiwan indonesia,peraih emas olimpiade menteri olahraga taiwan indonesia,peraih emas olimpiade menteri olahraga taiwan indonesia,raih emas olimpiade menteri olahraga taiwan indonesia,"['raih', 'emas', 'olimpiade', 'menteri', 'olahraga', 'taiwan', 'indonesia']"
